Mod:Item:MetaData, Localized Name
twilightforest:fiery_blood, Огенная кровь
twilightforest:fiery_tears, Огненные слёзы
twilightforest:trophy:0, Нага трофей
twilightforest:trophy:1, Сумеречный лич трофей
twilightforest:trophy:2, Гидра трофей
twilightforest:trophy:3, Ур-гаст трофей
twilightforest:trophy:4, Призрак рыцаря трофей
twilightforest:trophy:5, Снежная королева трофей
twilightforest:trophy:6, Гриботавр трофей
twilightforest:trophy:8, Квестовый баран трофей
twilightforest:fiery_ingot, Огненный слиток
twilightforest:fiery_helmet, Огненный шлем
twilightforest:fiery_chestplate, Огненный нагрудник
twilightforest:fiery_leggings, Огненные поножи
twilightforest:fiery_boots, Огненные ботинки
twilightforest:fiery_sword, Огненный меч
twilightforest:fiery_pickaxe, Огненная кирка
twilightforest:steeleaf_ingot, Стальной лист
twilightforest:steeleaf_helmet, Шлем из стальных листьев
twilightforest:steeleaf_chestplate, Нагрудник из стальных листьев
twilightforest:steeleaf_leggings, Поножи из стальных листьев
twilightforest:steeleaf_boots, Ботинки из стальных листьев
twilightforest:steeleaf_sword, Меч из стальных листьев
twilightforest:steeleaf_shovel, Лопата из стальных листьев
twilightforest:steeleaf_pickaxe, Кирка из стальных листьев
twilightforest:steeleaf_axe, Топор из стальных листьев
twilightforest:steeleaf_hoe, Мотыга из стальных листьев
twilightforest:minotaur_axe_gold, Золотой топор минотавра
twilightforest:minotaur_axe, Алмазный топор минотавра
twilightforest:mazebreaker_pickaxe, Разрушитель лабиринтов
twilightforest:transformation_powder, Порошок трансформации
twilightforest:raw_meef, Мясо минотавра
twilightforest:cooked_meef, Стейк из минотавра
twilightforest:meef_stroganoff, Суп из минотавра
twilightforest:maze_wafer, Вафли
twilightforest:magic_map_empty, Пустая магическая карта
twilightforest:maze_map_empty, Пустая карта лабиринта
twilightforest:ore_map_empty, Пустая карта шахты
twilightforest:ore_magnet, Рудный магнит
twilightforest:crumble_horn, Рог
twilightforest:peacock_fan, Веер полёта
twilightforest:moonworm_queen, Королева гусениц
twilightforest:charm_of_life_1, Амулет жизни I
twilightforest:charm_of_life_2, Амулет жизни II
twilightforest:charm_of_keeping_1, Амулет инвентаря I
twilightforest:charm_of_keeping_2, Амулет инвентаря II
twilightforest:charm_of_keeping_3, Амулет инвентаря III
twilightforest:tower_key, Ключ от башни
twilightforest:borer_essence, Буровая эссенция
twilightforest:carminite, Карминит
twilightforest:experiment_115, Эксперимент 115
twilightforest:armor_shard, Осколок рыцарского металла
twilightforest:knightmetal_ingot, Слиток рыцарского металла
twilightforest:armor_shard_cluster, Осколки рыцарского металла
twilightforest:knightmetal_helmet, Рыцарский шлем
twilightforest:knightmetal_chestplate, Рыцарский нагрудник
twilightforest:knightmetal_leggings, Рыцарские поножи
twilightforest:knightmetal_boots, Рыцарские ботинки
twilightforest:knightmetal_sword, Рыцарский меч
twilightforest:knightmetal_pickaxe, Рыцарская кирка
twilightforest:knightmetal_axe, Рыцарский топор
twilightforest:knightmetal_shield, Рыцарский щит
twilightforest:phantom_helmet, Шлем Фантома
twilightforest:phantom_chestplate, Нагрудник Фантома
twilightforest:lamp_of_cinders, Лампа огня
twilightforest:alpha_fur, Мех Альфа-йети
twilightforest:yeti_helmet, Шапка йети
twilightforest:yeti_chestplate, Куртка йети
twilightforest:yeti_leggings, Штаны йети
twilightforest:yeti_boots, Ботинки йети
twilightforest:ice_bomb, Ледяная бомба
twilightforest:arctic_fur, Арктический мех
twilightforest:arctic_helmet, Меховой капюшон
twilightforest:arctic_chestplate, Меховая куртка
twilightforest:arctic_leggings, Меховые штаны
twilightforest:arctic_boots, Меховые ботинки
twilightforest:magic_beans, Волшебные бобы
twilightforest:giant_pickaxe, Гигантская кирка
twilightforest:giant_sword, Гигантский меч
twilightforest:triple_bow, Тройной лук
twilightforest:seeker_bow, Лук искателя
twilightforest:ice_bow, Ледяной лук
twilightforest:ender_bow, Эндер-лук
twilightforest:ice_sword, Ледяной меч
twilightforest:glass_sword, Стеклянный меч
twilightforest:knightmetal_ring, Петля королевского металла
twilightforest:block_and_chain, Блок цепей
twilightforest:cube_talisman, Талисман куба
twilightforest:cube_of_annihilation, Куб аннигиляции
twilightforest:moon_dial, Лунный циферблат
twilightforest:twilight_log:0, Сумеречный дуб
twilightforest:twilight_log:1, Сумеречная сосна
twilightforest:twilight_log:2, Сумеречная берёза
twilightforest:twilight_log:3, Тёмное дерево
twilightforest:root:0, Корни
twilightforest:root:1, Замшелые корни
twilightforest:twilight_leaves:0, Листва сумеречного дуба
twilightforest:twilight_leaves:1, Листва сумеречной сосны
twilightforest:twilight_leaves:2, Листва сумеречной берёзы
twilightforest:twilight_leaves:3, Разноцветная листва
twilightforest:firefly, Светлячок
twilightforest:cicada, Цикада
twilightforest:maze_stone:0, Камень лабиринта
twilightforest:maze_stone:1, Кладка из камня лабиринта
twilightforest:maze_stone:2, Гладкая лабиринтовая кладка
twilightforest:maze_stone:3, Декоративная лабиринтовая кладка
twilightforest:maze_stone:4, Потресканая лабиринтовая кладка
twilightforest:maze_stone:5, Замшелая лабиринтовая кладка
twilightforest:maze_stone:6, Узорчатая лабиринтовая кладка
twilightforest:maze_stone:7, Двойная узорчатая лабиринтовая кладка
twilightforest:hedge:0, Живая изгородь
twilightforest:boss_spawner:0, Спавнер наги
twilightforest:boss_spawner:1, Спавнер лича
twilightforest:boss_spawner:2, Спавнер гидры
twilightforest:boss_spawner:3, Спавнер ур-гаста
twilightforest:boss_spawner:4, Спавнер рыцаря фантома
twilightforest:boss_spawner:5, Спавнер снежной королевы
twilightforest:boss_spawner:6, Спавнер гриботавра
twilightforest:boss_spawner:7, Спавнер альфа-йети
twilightforest:boss_spawner:9, tile.twilightforest.BossSpawner.9.name
twilightforest:firefly_jar, Банка со светлячком
twilightforest:twilight_plant:0, Клочок мха
twilightforest:twilight_plant:1, Майское яблоко
twilightforest:twilight_plant:2, Лист клевера [WIP]
twilightforest:twilight_plant:3, Сверкающая трава
twilightforest:twilight_plant:4, Светогриб
twilightforest:twilight_plant:5, Лесная трава
twilightforest:twilight_plant:6, Высохший куст
twilightforest:twilight_plant:7, Факелонтовый росток
twilightforest:twilight_plant:8, Висячие корни
twilightforest:twilight_plant:9, Leaf Pile
twilightforest:uncrafting_table, Разборочный верстак
twilightforest:fire_jet:0, Дымовой блок
twilightforest:fire_jet:3, Огненный блок
twilightforest:fire_jet:1, Прирученный дымок
twilightforest:fire_jet:6, Заключённый огонёк
twilightforest:naga_stone:0, Голова нагокамня
twilightforest:naga_stone:1, Нагакамень
twilightforest:twilight_sapling:0, Саженец сумеречного дуба
twilightforest:twilight_sapling:1, Саженец сумеречной сосны
twilightforest:twilight_sapling:2, Саженец сумеречной берёзы
twilightforest:twilight_sapling:3, Саженец тёмного дерева
twilightforest:twilight_sapling:4, Саженец большого сумеречного дуба
twilightforest:twilight_sapling:5, Саженец дерева времени
twilightforest:twilight_sapling:6, Саженец дерева преобразования
twilightforest:twilight_sapling:7, Саженец дерева шахтёра
twilightforest:twilight_sapling:8, Саженец сортировочного дерева
twilightforest:twilight_sapling:9, Саженец разноцветного дерева
twilightforest:moonworm, Гусеница
twilightforest:magic_log:0, Дерево времени
twilightforest:magic_log:1, Загадочное дерево
twilightforest:magic_log:2, Дерево шахтёра
twilightforest:magic_log:3, Правильное дерево
twilightforest:magic_leaves:0, Листва дерева времени
twilightforest:magic_leaves:1, Листва мудрого дерева
twilightforest:magic_leaves:2, Листва шахтёра
twilightforest:magic_leaves:3, Листва сортировки
twilightforest:magic_log_core:0, Дерево времени
twilightforest:magic_log_core:1, Мудрое дерево
twilightforest:magic_log_core:2, Ядро дерева шахтёра
twilightforest:magic_log_core:3, Ядро дерева сортировки
twilightforest:tower_wood:0, Доски тёмной башни
twilightforest:tower_wood:1, Боковые доски тёмной башни
twilightforest:tower_wood:2, Треснутые доски тёмной башни
twilightforest:tower_wood:3, Замшелые доски тёмной башни
twilightforest:tower_wood:4, Инфицированные доски тёмной башни
twilightforest:tower_device:0, Восстанавливающийся блок
twilightforest:tower_device:2, Исчезающий блок
twilightforest:tower_device:4, Заблокированный восстанавливающийся блок
twilightforest:tower_device:5, Разблокированный восстанавливающийся блок
twilightforest:tower_device:6, Строитель башни
twilightforest:tower_device:9, Антистроитель
twilightforest:tower_device:10, Ловушка для гаста
twilightforest:tower_device:12, Карминитовый реактор
twilightforest:stronghold_shield, Крепкий щит
twilightforest:trophy_pedestal:0, Трофейный пьедестал
twilightforest:aurora_block, Блок Авроры
twilightforest:underbrick:0, Подземные кирпичи
twilightforest:underbrick:1, Замшелые подземные кирпичи
twilightforest:underbrick:2, Потресканные подземные кирпичи
twilightforest:underbrick:3, Подземный пол
twilightforest:thorns:0, Шипы
twilightforest:thorns:1, Зеленые шипы
twilightforest:burnt_thorns, Истлевшие шипы
twilightforest:thorn_rose, Шипастая роза
twilightforest:twilight_leaves_3:0, Шиповые листья
twilightforest:twilight_leaves_3:1, Бобовые листья
twilightforest:deadrock:0, Влажный камень смерти
twilightforest:deadrock:1, Потрескавшийся камень смерти
twilightforest:deadrock:2, Камень смерти
twilightforest:dark_leaves, Листва тёмного дерева
twilightforest:aurora_pillar, Колонна Авроры
twilightforest:aurora_slab:0, Плита Авроры
twilightforest:trollsteinn, Тролльштейн
twilightforest:wispy_cloud, Прозрачное облако
twilightforest:fluffy_cloud, Взбитое облако
twilightforest:giant_cobblestone, Гигантский булыжник
twilightforest:giant_log, Гигантское дерево
twilightforest:giant_leaves, Гигантские листья
twilightforest:giant_obsidian, Гигантский обсидиан
twilightforest:uberous_soil, Анбеоновая почва
twilightforest:huge_stalk, Огромный стебель
twilightforest:huge_mushgloom, Огромный грибрил
twilightforest:trollvidr, Тролловидр
twilightforest:unripe_trollber, Спелый тролльбер
twilightforest:trollber, Тролльбер
twilightforest:knightmetal_block, Блок королевского металла
twilightforest:huge_lilypad, Огромные лилии
twilightforest:huge_waterlily, Огромная кувшинка
twilightforest:slider:0, Скользящая ловушка
twilightforest:slider:1, Скользящая ловушка 1
twilightforest:slider:2, Скользящая ловушка 2
twilightforest:slider:3, Скользящая ловушка 3
twilightforest:castle_brick:0, Кирпич замка
twilightforest:castle_brick:1, Изношенный кирпич замка
twilightforest:castle_brick:2, Потресканный кирпич замка
twilightforest:castle_brick:3, Замковая крыша
twilightforest:castle_brick:4, Замшелый кирпич замка
twilightforest:castle_brick:5, Толстый кирпич замка
twilightforest:castle_stairs_brick, Ступени из кирпича замка
twilightforest:castle_stairs_cracked, Ступени из потресканного кирпича замка
twilightforest:castle_stairs_worn, Ступени из изношенного кирпича замка
twilightforest:castle_stairs_mossy, Ступени из замшелого кирпича замка
twilightforest:castle_pillar:0, Облицованная колонна кирпича замка
twilightforest:castle_pillar:1, Облицованная плитка кирпича замка
twilightforest:castle_pillar:2, Рельефная колонна кирпича замка
twilightforest:castle_pillar:3, Рельефная плитка кирпича замка
twilightforest:castle_stairs:0, Облицованные ступеньки кирпича замка
twilightforest:castle_stairs:8, Рельефные ступеньки кирпича замка
twilightforest:castle_rune_brick:0, Розовый кирпич замка
twilightforest:castle_rune_brick:1, Синий кирпич замка
twilightforest:castle_rune_brick:2, Жёлтый кирпич замка
twilightforest:castle_rune_brick:3, Фиолетовый кирпич замка
twilightforest:force_field:0, Фиолетовое силовое поле
twilightforest:force_field:1, Розовое силовое поле
twilightforest:force_field:2, Оранжевое силовое поле
twilightforest:force_field:3, Зеленое силовое поле
twilightforest:force_field:4, Синее силовое поле
twilightforest:cinder_furnace, Шлаковая печь [NYI]
twilightforest:cinder_log, Шлак древесины [NYI]
twilightforest:castle_door:0, Жёлтая дверь замка
twilightforest:castle_door:1, Фиолетовая дверь замка
twilightforest:castle_door:2, Розовая дверь замка
twilightforest:castle_door:3, Синяя дверь замка
twilightforest:miniature_structure:0, Миниатюра Сумеречный портал [NYI]
twilightforest:miniature_structure:1, Миниатюра Лабиринт из живой изгороди [NYI]
twilightforest:miniature_structure:2, Миниатюра Полый холм [NYI]
twilightforest:miniature_structure:3, Миниатюра Роща поисков [NYI]
twilightforest:miniature_structure:4, Миниатюра Грибной замок [NYI]
twilightforest:miniature_structure:5, Миниатюра Двор Наги [NYI]
twilightforest:miniature_structure:6, Миниатюра Башня Лича [NYI]
twilightforest:miniature_structure:7, Миниатюра Лабиринт Минотавра [NYI]
twilightforest:miniature_structure:8, Миниатюра Логово Гидры [NYI]
twilightforest:miniature_structure:9, Миниатюра Крепость Гоблина [NYI]
twilightforest:miniature_structure:10, Миниатюра Темная башня [NYI]
twilightforest:miniature_structure:11, Миниатюра Пещера Йети [NYI]
twilightforest:miniature_structure:12, Миниатюра Дворец Авроры [NYI]
twilightforest:miniature_structure:13, Миниатюра Пещера Тролля и Дом в облаках [NYI]
twilightforest:miniature_structure:14, Миниатюра Финальный замок [NYI]
twilightforest:block_storage:0, Блок железной древесины
twilightforest:block_storage:1, Блок огненного металла
twilightforest:block_storage:2, Блок стального листа
twilightforest:block_storage:3, Блок арктического меха
twilightforest:block_storage:4, Блок карминита
twilightforest:spiral_bricks, Спиральные каменные кирпичи [WIP]
twilightforest:etched_nagastone, Гравированный нагакамень
twilightforest:nagastone_pillar, Колонна из нагакамня
twilightforest:nagastone_stairs:0, Ступеньки из нагакамня (левая)
twilightforest:nagastone_stairs:8, Ступеньки из нагакамня (правая)
twilightforest:etched_nagastone_mossy, Замшелый гравированный нагакамень
twilightforest:nagastone_pillar_mossy, Замшелая колонна из нагакамня
twilightforest:nagastone_stairs_mossy:0, Замшелые ступеньки из нагакамня (левая)
twilightforest:nagastone_stairs_mossy:8, Замшелые ступеньки из нагакамня (правая)
twilightforest:etched_nagastone_weathered, Разрушенный гравированный нагакамень
twilightforest:nagastone_pillar_weathered, Разрушенный колонна из нагакамня
twilightforest:nagastone_stairs_weathered:0, Выветрившиеся ступеньки из нагакамня (левая)
twilightforest:nagastone_stairs_weathered:8, Выветрившиеся ступеньки из нагакамня (правая)
twilightforest:auroralized_glass, Авроризованное стекло
twilightforest:iron_ladder, Железная лестница
twilightforest:terrorcotta_circle, Терроркотта (круглая)
twilightforest:terrorcotta_diagonal, Терроркотта (диагональная)
twilightforest:stone_twist, Лесная каменная колонна
twilightforest:stone_twist_thin, Лесная тонкая каменная колонна
twilightforest:twilight_oak_planks, Доски из сумеречного дуба
twilightforest:twilight_oak_stairs, Ступеньки из сумеречного дуба
twilightforest:twilight_oak_slab:0, Плита из сумеречного дуба
twilightforest:twilight_oak_button, Кнопка из сумеречного дуба
twilightforest:twilight_oak_door, Дверь из сумеречного дуба
twilightforest:twilight_oak_trapdoor, Люк из сумеречного дуба
twilightforest:twilight_oak_fence, Забор из сумеречного дуба
twilightforest:twilight_oak_gate, Калитка из сумеречного дуба
twilightforest:twilight_oak_plate, Нажимная плита из сумеречного дуба
twilightforest:canopy_planks, Сосновые доски
twilightforest:canopy_stairs, Сосновые ступеньки
twilightforest:canopy_slab:0, Сосновая плитка
twilightforest:canopy_button, Сосновая кнопка
twilightforest:canopy_door, Сосновая дверь
twilightforest:canopy_trapdoor, Сосновый люк
twilightforest:canopy_fence, Сосновый забор
twilightforest:canopy_gate, Сосновая калитка
twilightforest:canopy_plate, Сосновая нажимная плита
twilightforest:mangrove_planks, Доски из сумеречной берёзы
twilightforest:mangrove_stairs, Ступеньки из сумеречной берёзы
twilightforest:mangrove_slab:0, Плита из сумеречной берёзы
twilightforest:mangrove_button, Кнопка из сумеречной берёзы
twilightforest:mangrove_door, Mangrove Door
twilightforest:mangrove_trapdoor, Люк из сумеречной берёзы
twilightforest:mangrove_fence, Забор из сумеречной берёзы
twilightforest:mangrove_gate, Калитка из сумеречной берёзы
twilightforest:mangrove_plate, Нажимная плита из сумеречной берёзы
twilightforest:dark_planks, Тёмные доски
twilightforest:dark_stairs, Тёмные ступеньки
twilightforest:dark_slab:0, Тёмная плита
twilightforest:dark_button, Тёмная кнопка
twilightforest:dark_door, Darkwood Door
twilightforest:dark_trapdoor, Тёмный люк
twilightforest:dark_fence, Тёмный забор
twilightforest:dark_gate, Тёмная калитка
twilightforest:dark_plate, Тёмная нажимная плита
twilightforest:time_planks, Доски из дерева времени
twilightforest:time_stairs, Ступеньки из дерева времени
twilightforest:time_slab:0, Плита из дерева времени
twilightforest:time_button, Кнопка из дерева времени
twilightforest:time_door, Дверь из дерева времени
twilightforest:time_trapdoor, Люк из дерева времени
twilightforest:time_fence, Забор из дерева времени
twilightforest:time_gate, Калитка из дерева времени
twilightforest:time_plate, Нажимная плита из дерева времени
twilightforest:trans_planks, Доски из загадочного дерева
twilightforest:trans_stairs, Ступеньки из загадочного дерева
twilightforest:trans_slab:0, Плита из загадочного дерева
twilightforest:trans_button, Кнопка из загадочного дерева
twilightforest:trans_door, Дверь из загадочного дерева
twilightforest:trans_trapdoor, Люк из загадочного дерева
twilightforest:trans_fence, Забор из загадочного дерева
twilightforest:trans_gate, Калитка из загадочного дерева
twilightforest:trans_plate, Нажимная плита из загадочного дерева
twilightforest:mine_planks, Доски из дерева шахтёра
twilightforest:mine_stairs, Ступеньки из дерева шахтёра
twilightforest:mine_slab:0, Плита из дерева шахтёра
twilightforest:mine_button, Кнопка из дерева шахтёра
twilightforest:mine_door, Дверь из дерева шахтёра
twilightforest:mine_trapdoor, Люк из дерева шахтёра
twilightforest:mine_fence, Забор из дерева шахтёра
twilightforest:mine_gate, Калитка из дерева шахтёра
twilightforest:mine_plate, Нажимная плита из дерева шахтёра
twilightforest:sort_planks, Доски из правильного дерева
twilightforest:sort_stairs, Ступеньки из правильного дерева
twilightforest:sort_slab:0, Плита из правильного дерева
twilightforest:sort_button, Кнопка из правильного дерева
twilightforest:sort_door, Дверь из правильного дерева
twilightforest:sort_trapdoor, Люк из правильного дерева
twilightforest:sort_fence, Забор из правильного дерева
twilightforest:sort_gate, Калитка из правильного дерева
twilightforest:sort_plate, Нажимная плита из правильного дерева
twilightforest:shader:0, Twilit Shader: Twilight
twilightforest:shader:0, Twilit Shader: Firefly
twilightforest:shader:0, Twilit Shader: Pinch Beetle
twilightforest:shader:0, Twilit Shader: Snakestone
twilightforest:shader:0, Twilit Shader: Mazestone
twilightforest:shader:0, Twilit Shader: Underbrick
twilightforest:shader:0, Twilit Shader: Towerwood
twilightforest:shader:0, Twilit Shader: Carminite
twilightforest:shader:0, Twilit Shader: Auroralized
twilightforest:shader:0, Twilit Shader: Ironwood
twilightforest:shader:0, Twilit Shader: Steeleaf
twilightforest:shader:0, Twilit Shader: Knightly
twilightforest:shader:0, Twilit Shader: Fiery
twilightforest:shader:0, Twilit Shader: Final Castle
twilightforest:shader:0, Twilit Shader: Cube of Annihilation
twilightforest:shader:0, Twilit Shader: Questing Ram
twilightforest:shader:0, Twilit Shader: Naga
twilightforest:shader:0, Twilit Shader: Lich
twilightforest:shader:0, Twilit Shader: Minoshroom
twilightforest:shader:0, Twilit Shader: Hydra
twilightforest:shader:0, Twilit Shader: Knight Phantom
twilightforest:shader:0, Twilit Shader: Ur-Ghast
twilightforest:shader:0, Twilit Shader: Alpha Yeti
twilightforest:shader:0, Twilit Shader: Snow Queen
tconstruct:book, Материалы и Вы
tconstruct:soil:0, Цемент
tconstruct:soil:1, Конгломерат зелёной слизи
tconstruct:soil:2, Конгломерат синей слизи
tconstruct:soil:3, Кладбищенская земля
tconstruct:soil:4, Освящённая земля
tconstruct:soil:5, Конгломерат огненной слизи
tconstruct:slime:1, Блок синей слизи
tconstruct:slime:2, Блок фиолетовой слизи
tconstruct:slime:3, Блок крови
tconstruct:slime:4, Блок огненной слизи
tconstruct:slime_congealed:0, Блок застывшей зелёной слизи
tconstruct:slime_congealed:1, Блок застывшей синей слизи
tconstruct:slime_congealed:2, Блок застывшей фиолетовой слизи
tconstruct:slime_congealed:3, Блок застывшей крови
tconstruct:slime_congealed:4, Блок застывшей огненной слизи
tconstruct:ore:0, Кобальтовая руда
tconstruct:ore:1, Ардитовая руда
tconstruct:firewood:0, Лаводерево
tconstruct:firewood:1, Огнедерево
tconstruct:deco_ground:0, Грязевой кирпич
tconstruct:clear_glass:0, Чистое стекло
tconstruct:clear_stained_glass:0, Чистое белое стекло
tconstruct:clear_stained_glass:1, Чистое оранжевое стекло
tconstruct:clear_stained_glass:2, Чистое пурпурное стекло
tconstruct:clear_stained_glass:3, Чистое голубое стекло
tconstruct:clear_stained_glass:4, Чистое жёлтое стекло
tconstruct:clear_stained_glass:5, Чистое лаймовое стекло
tconstruct:clear_stained_glass:6, Чистое розовое стекло
tconstruct:clear_stained_glass:7, Чистое серое стекло
tconstruct:clear_stained_glass:8, Чистое светло-серое стекло
tconstruct:clear_stained_glass:9, Чистое бирюзовое стекло
tconstruct:clear_stained_glass:10, Чистое фиолетовое стекло
tconstruct:clear_stained_glass:11, Чистое синее стекло
tconstruct:clear_stained_glass:12, Чистое коричневое стекло
tconstruct:clear_stained_glass:13, Чистое зелёное стекло
tconstruct:clear_stained_glass:14, Чистое красное стекло
tconstruct:clear_stained_glass:15, Чистое чёрное стекло
tconstruct:deco_ground_slab:0, Грязевая плита
tconstruct:firewood_slab:0, Лаводеревянная плита
tconstruct:firewood_slab:1, Огнедеревянная плита
tconstruct:mudbrick_stairs:0, Грязевые ступеньки
tconstruct:firewood_stairs:0, Огнедеревянные ступеньки
tconstruct:lavawood_stairs:0, Лаводеревянные ступеньки
tconstruct:nuggets:0, Кобальтовый самородок
tconstruct:nuggets:1, Ардитовый самородок
tconstruct:nuggets:2, Маньюлиновый самородок
tconstruct:nuggets:3, Слизестальный самородок
tconstruct:nuggets:4, Самородок свиностали
tconstruct:ingots:0, Кобальтовый слиток
tconstruct:ingots:1, Ардитовый слиток
tconstruct:ingots:2, Маньюлиновый слиток
tconstruct:ingots:3, Слиток слизестали
tconstruct:ingots:4, Слиток свиностали
tconstruct:materials:0, Сушёный кирпич
tconstruct:materials:1, Грязевой кирпич
tconstruct:materials:2, Кирпич сушёной глины
tconstruct:materials:9, Кристалл зелёной слизи
tconstruct:materials:10, Кристалл синей слизи
tconstruct:materials:11, Кристалл огненной слизи
tconstruct:materials:12, Экспандер (Горизонталь)
tconstruct:materials:13, Экспандер (Вертикаль)
tconstruct:materials:14, Укрепитель
tconstruct:materials:15, Шёлковая ткань
tconstruct:materials:16, Шёлковый камень
tconstruct:materials:17, Кость нежити
tconstruct:materials:18, Шар мха
tconstruct:materials:19, Запоминающий мох
tconstruct:materials:50, Креативный модификатор
tconstruct:edible:0, Бекон
tconstruct:edible:1, Шарик синей слизи
tconstruct:edible:2, Шарик фиолетовой слизи
tconstruct:edible:3, Шарик крови
tconstruct:edible:4, Шарик огненной слизи
tconstruct:edible:5, Slimeball
tconstruct:edible:10, Сушёная гнилая плоть
tconstruct:edible:11, Вяленая говядина
tconstruct:edible:12, Вяленая курятина
tconstruct:edible:13, Вяленая свинина
tconstruct:edible:14, Вяленая ягнятина
tconstruct:edible:15, Вяленая крольчатина
tconstruct:edible:20, Сушёная рыба
tconstruct:edible:21, Сушёная лососина
tconstruct:edible:22, Сушёная рыба-клоун
tconstruct:edible:23, Сушёная фугу
tconstruct:edible:30, Засохшая зелёная слизь
tconstruct:edible:31, Засохшая синяя слизь
tconstruct:edible:32, Засохшая фиолетовая слизь
tconstruct:edible:33, Засохшая капля крови
tconstruct:edible:34, Засохшая огненная слизь
tconstruct:metal:0, Блок кобальта
tconstruct:metal:1, Блок ардита
tconstruct:metal:2, Блок маньюлина
tconstruct:metal:3, Блок слизестали
tconstruct:metal:4, Блок свинстали
tconstruct:metal:6, Шёлковый блок
tconstruct:slime_dirt:0, Грязь из зелёной слизи
tconstruct:slime_dirt:1, Грязь из синей слизи
tconstruct:slime_dirt:2, Грязь из фиолетовой слизи
tconstruct:slime_dirt:3, Грязь из огненной слизи
tconstruct:slime_grass:0, Слизневая трава
tconstruct:slime_grass:1, Трава из зелёной слизи
tconstruct:slime_grass:2, Трава из синей слизи
tconstruct:slime_grass:3, Трава из фиолетовой слизи
tconstruct:slime_grass:4, Трава из огненной слизи
tconstruct:slime_grass:5, Слизневая трава
tconstruct:slime_grass:6, Трава из зелёной слизи
tconstruct:slime_grass:7, Трава из синей слизи
tconstruct:slime_grass:8, Трава из фиолетовой слизи
tconstruct:slime_grass:9, Трава из огненной слизи
tconstruct:slime_grass:10, Слизневая трава
tconstruct:slime_grass:11, Трава из зелёной слизи
tconstruct:slime_grass:12, Трава из синей слизи
tconstruct:slime_grass:13, Трава из фиолетовой слизи
tconstruct:slime_grass:14, Трава из огненной слизи
tconstruct:slime_leaves:0, Листья синей слизи
tconstruct:slime_leaves:1, Листья фиолетовой слизи
tconstruct:slime_leaves:2, Листья огненной слизи
tconstruct:slime_grass_tall:0, Высокая трава из слизи
tconstruct:slime_grass_tall:4, Высокая трава из слизи
tconstruct:slime_grass_tall:8, Высокая трава из слизи
tconstruct:slime_grass_tall:1, Слизневый папоротник
tconstruct:slime_grass_tall:5, Слизневый папоротник
tconstruct:slime_grass_tall:9, Слизневый папоротник
tconstruct:slime_sapling:0, Саженец синей слизи
tconstruct:slime_sapling:1, Саженец фиолетовой слизи
tconstruct:slime_sapling:2, Саженец огненной слизи
tconstruct:slime_vine_blue_end:0, Лоза синей слизи
tconstruct:slime_vine_blue_mid:0, Лоза синей слизи
tconstruct:slime_vine_blue:0, Лоза синей слизи
tconstruct:slime_vine_purple_end:0, Лоза фиолетовой слизи
tconstruct:slime_vine_purple_mid:0, Лоза фиолетовой слизи
tconstruct:slime_vine_purple:0, Лоза фиолетовой слизи
tconstruct:pattern:0, Пустая схема
tconstruct:pattern:0, Схема - ядро нагрудника
tconstruct:pattern:0, Схема - тетива
tconstruct:pattern:0, Схема - навершие косы
tconstruct:pattern:0, Схема - боёк молота
tconstruct:pattern:0, Схема - полотно лопаты
tconstruct:pattern:0, Схема - широкая карда
tconstruct:pattern:0, Схема - оперение
tconstruct:pattern:0, Схема - ядро ботинок
tconstruct:pattern:0, Схема - рукоять
tconstruct:pattern:0, Схема - поперечная гарда
tconstruct:pattern:0, Схема - большая пластина
tconstruct:pattern:0, Схема - отделка брони
tconstruct:pattern:0, Схема - лезвие меча
tconstruct:pattern:0, Схема - лезвие ножа
tconstruct:pattern:0, Схема - табличка
tconstruct:pattern:0, Схема - ядро шлема
tconstruct:pattern:0, Схема - осколок
tconstruct:pattern:0, Схема - лезвие топора
tconstruct:pattern:0, Схема - мощное крепление
tconstruct:pattern:0, Схема - Набор для полировки
tconstruct:pattern:0, Схема - полотно сковороды
tconstruct:pattern:0, Схема - древко стрелы
tconstruct:pattern:0, Схема - крепление
tconstruct:pattern:0, Схема - навершие кирки
tconstruct:pattern:0, Схема - оселок
tconstruct:pattern:0, Схема - большое лезвие топора
tconstruct:pattern:0, Схема - малая гарда
tconstruct:pattern:0, Схема - ядро понож
tconstruct:pattern:0, Схема - наконечник
tconstruct:pattern:0, Схема - большое полотно лопаты
tconstruct:pattern:0, Схема - мощная рукоять
tconstruct:pattern:0, Схема - Пластина
tconstruct:pattern:0, Схема - Kama Head
tconstruct:pattern:0, Схема - широкое лезвие меча
tconstruct:pattern:0, Схема - плечо лука
tconstruct:shard:0, Сердце наги осколок
tconstruct:shard:0, Магический лист осколок
tconstruct:shard:0, Пламя осколок
tconstruct:shard:0, Королевский металл осколок
tconstruct:shard:0, Деревянн. осколок
tconstruct:shard:0, Каменн. осколок
tconstruct:shard:0, Кремнев. осколок
tconstruct:shard:0, Кактусов. осколок
tconstruct:shard:0, Костян. осколок
tconstruct:shard:0, Обсидианов. осколок
tconstruct:shard:0, Призмаринов. осколок
tconstruct:shard:0, Эндеровск. осколок
tconstruct:shard:0, Бумажн. осколок
tconstruct:shard:0, Губочн. осколок
tconstruct:shard:0, Огнедерев. осколок
tconstruct:shard:0, Железн. осколок
